,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33
pmc001,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc006,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc007,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc012,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc013,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc014,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc015,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc019,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc020,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc021,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc022,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc023,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc024,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc025,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc026,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc027,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc028,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc029,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc030,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc031,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc032,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc033,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc037,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc038,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc039,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc041,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc042,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc043,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc044,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc045,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc046,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc047,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc048,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc049,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc054,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc055,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc056,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc057,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc058,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc059,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc060,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc061,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc062,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc063,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc064,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc065,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc068,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc069,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc070,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc071,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc072,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc073,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc074,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc075,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc076,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc077,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc080,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc081,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc082,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc083,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc084,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc085,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc086,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc087,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc088,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc089,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc093,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc094,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc095,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc096,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc097,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc098,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc101,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc102,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc103,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc104,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc105,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc106,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
pmc107,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP,PMNP
